Type,Name,Price
Massage,Acupuncture,$150
Massage,Swedish Massage,$75
Massage,Thai Herbal Poultice,$195
Massage,Bamboo Massage,$159
Massage,Couples Massage,$269
Massage,Elemis AromaSpa Seaweed Massage,$195
Massage,Elemis Exotic Lime & Ginger Sat Glow,$155
Massage,Elemis Total Glow Tanning Treatment,$141
Massage,Elemis Deep Tissue Muscle Massage,$129
Massage,Elemis AromaStone Therapy,$149
Massage,Elemis Absolute Spa Ritual,$265
Massage,Aromaspa Ocean Wrap,$176
Massage,Reflexology,$124
Massage,Sun Bed,$24
Massage,Deck Massage,$15
Massage,Ionithermie Cellulite Reduction Program,$399
Massage,Ionithermie Cheek Lift Treatment,$159
Massage,Ionithermie Algae Detox,$159
Massage,Bathing Ritual,$32
